,__REALTIME_TIMESTAMP,UTC,Rms Offset,Std Freq,Std Delay
0,1598232654,30:54,421,36265,5778
1,1598232656,30:56,50,36453,5779
2,1598232658,30:58,60,36488,5767
3,1598232660,31:00,73,36547,5742
4,1598232662,31:02,70,36432,5752
5,1598232664,31:04,46,36436,5793
6,1598232666,31:06,58,36459,5818
7,1598232668,31:08,61,36454,5818
8,1598232670,31:10,48,36475,5800
9,1598232672,31:12,86,36448,5740
10,1598232674,31:14,63,36487,5715
11,1598232676,31:16,54,36417,5684
12,1598232678,31:18,37,36412,5684
13,1598232680,31:20,64,36392,5702
14,1598232682,31:22,40,36443,5704
15,1598232684,31:24,50,36372,5708
16,1598232686,31:26,59,36383,5704
17,1598232688,31:28,50,36411,5701
18,1598232690,31:30,64,36453,5696
19,1598232692,31:32,85,36374,5698
20,1598232694,31:34,34,36355,5705
21,1598232696,31:36,44,36397,5708
22,1598232698,31:38,48,36339,5697
23,1598232700,31:40,44,36384,5697
24,1598232702,31:42,67,36306,5720
25,1598232704,31:44,54,36386,5705
26,1598232706,31:46,76,36378,5723
27,1598232708,31:48,7,36357,5755
28,1598232710,31:50,60,36314,5777
29,1598232712,31:52,49,36386,5791
30,1598232714,31:54,88,36302,5791
31,1598232716,31:56,63,36346,5791
32,1598232718,31:58,44,36360,5742
33,1598232720,32:00,49,36338,5725
34,1598232722,32:02,39,36389,5725
35,1598232724,32:04,41,36322,5737
36,1598232726,32:06,52,36277,5746
37,1598232728,32:08,69,36350,5746
38,1598232730,32:10,44,36323,5737
39,1598232732,32:12,33,36301,5746
40,1598232734,32:14,34,36287,5771
41,1598232736,32:16,96,36299,5787
42,1598232738,32:18,42,36346,5717
43,1598232740,32:20,54,36309,5740
44,1598232742,32:22,67,36265,5785
45,1598232744,32:24,77,36373,5730
46,1598232746,32:26,102,36263,5754
47,1598232748,32:28,58,36324,5739
48,1598232750,32:30,51,36323,5744
49,1598232752,32:32,49,36307,5739
50,1598232754,32:34,69,36271,5750
51,1598232756,32:36,93,36344,5708
52,1598232758,32:38,86,36273,5711
53,1598232760,32:40,77,36281,5720
54,1598232762,32:42,27,36295,5720
55,1598232764,32:44,25,36260,5728
56,1598232766,32:46,77,36325,5736
57,1598232768,32:48,41,36268,5742
58,1598232770,32:50,49,36224,5786
59,1598232772,32:52,58,36303,5780
60,1598232774,32:54,49,36263,5792
61,1598232776,32:56,38,36223,5795
62,1598232778,32:58,48,36284,5798
63,1598232780,33:00,77,36365,5782
64,1598232782,33:02,65,36259,5753
65,1598232784,33:04,49,36296,5755
66,1598232786,33:06,60,36270,5777
67,1598232788,33:08,95,36232,5748
68,1598232790,33:10,44,36289,5748
69,1598232792,33:12,58,36254,5776
70,1598232794,33:14,57,36244,5735
71,1598232796,33:16,60,36298,5725
72,1598232798,33:18,33,36277,5702
73,1598232800,33:20,51,36217,5729
74,1598232802,33:22,77,36247,5729
75,1598232804,33:24,67,36275,5739
76,1598232806,33:26,49,36212,5739
77,1598232808,33:28,76,36266,5741
78,1598232810,33:30,28,36273,5748
79,1598232812,33:32,68,36241,5759
80,1598232814,33:34,47,36221,5772
81,1598232816,33:36,61,36273,5778
82,1598232818,33:38,40,36255,5751
83,1598232820,33:40,87,36172,5758
84,1598232822,33:42,87,36269,5747
85,1598232824,33:44,39,36261,5700
86,1598232826,33:46,53,36208,5655
87,1598232828,33:48,26,36206,5705
88,1598232830,33:50,32,36238,5690
89,1598232832,33:52,64,36226,5692
90,1598232834,33:54,55,36199,5744
91,1598232836,33:56,59,36214,5729
92,1598232838,33:58,29,36193,5738
93,1598232840,34:00,54,36256,5727
94,1598232842,34:02,47,36257,5699
95,1598232844,34:04,96,36173,5713
96,1598232846,34:06,45,36237,5699
97,1598232848,34:08,59,36200,5710
98,1598232850,34:10,70,36160,5744
99,1598232852,34:12,67,36212,5758
100,1598232854,34:14,47,36218,5756
101,1598232856,34:16,43,36232,5738
102,1598232858,34:18,75,36197,5719
103,1598232860,34:20,38,36209,5729
104,1598232862,34:22,40,36177,5740
105,1598232864,34:24,105,36229,5746
106,1598232866,34:26,23,36196,5738
107,1598232868,34:28,70,36109,5796
108,1598232870,34:30,59,36193,5764
109,1598232872,34:32,78,36270,5731
110,1598232874,34:34,84,36154,5749
111,1598232876,34:36,133,36259,5720
112,1598232878,34:38,67,36194,5729
113,1598232880,34:40,53,36207,5727
114,1598232882,34:42,17,36197,5727
115,1598232884,34:44,44,36242,5727
116,1598232886,34:46,31,36211,5724
117,1598232888,34:48,74,36129,5711
118,1598232890,34:50,36,36194,5698
119,1598232892,34:52,64,36240,5685
120,1598232894,34:54,114,36119,5696
121,1598232896,34:56,68,36202,5706
122,1598232898,34:58,62,36147,5705
123,1598232900,35:00,60,36191,5686
124,1598232902,35:02,45,36149,5705
125,1598232904,35:04,46,36189,5705
126,1598232906,35:06,54,36225,5695
127,1598232908,35:08,56,36125,5767
128,1598232910,35:10,23,36156,5752
129,1598232912,35:12,53,36213,5760
130,1598232914,35:14,18,36194,5701
131,1598232916,35:16,39,36214,5700
132,1598232918,35:18,33,36184,5673
133,1598232920,35:20,52,36135,5681
134,1598232922,35:22,34,36162,5681
135,1598232924,35:24,57,36236,5678
136,1598232926,35:26,54,36170,5694
137,1598232928,35:28,79,36132,5702
138,1598232930,35:30,39,36156,5714
139,1598232932,35:32,72,36174,5716
140,1598232934,35:34,59,36183,5716
141,1598232936,35:36,90,36126,5728
142,1598232938,35:38,76,36199,5741
143,1598232940,35:40,64,36185,5720
